t,gx,gy,gz,ax,ay,az
1713722604082989000,0.008522115647792816,-0.05752427875995636,-0.006391586735844612,-0.272938996553421,-0.08978256583213806,10.474632263183594
1713722604092989000,0.037284255027770996,-0.02556634694337845,0.002130528911948204,-0.047884032130241394,-1.1468225717544556,12.198457717895508
1713722604101989000,-0.034088462591171265,0.030892668291926384,0.00532632227987051,0.09696516394615173,-1.5406687259674072,11.469423294067383
1713722604111989000,0.009587380103766918,0.04048004746437073,0.00532632227987051,-0.18555063009262085,-0.9265560507774353,10.523713111877441
1713722604121989000,0.08522115647792816,0.011717909015715122,0.006391586735844612,-0.21787235140800476,0.06823474913835526,8.561665534973145
1713722604131989000,0.1949433982372284,-0.014913702383637428,0.004261057823896408,-0.040701426565647125,0.5602431893348694,8.20851993560791
1713722604140989000,0.22157500684261322,-0.01065264455974102,0.003195793367922306,-0.1280897855758667,0.395043283700943,9.404423713684082
1713722604150989000,0.12250541150569916,0.017044231295585632,0.006391586735844612,-0.1867477297782898,-0.2190694510936737,9.29069995880127
1713722604160989000,-0.07669904083013535,0.027696875855326653,-0.003195793367922306,0.016759412363171577,-0.7398083209991455,10.164583206176758
1713722604169989000,-0.1992044448852539,0.023435818031430244,-0.004261057823896408,-0.02992752008140087,-0.44173020124435425,10.141838073730469
1713722604179989000,-0.1906823366880417,-0.003195793367922306,0.002130528911948204,-0.1951274424791336,0.13168108463287354,9.355342864990234
1713722604189989000,-0.092678003013134,-0.05645901337265968,-0.001065264455974102,-0.1604115068912506,0.45010989904403687,8.467094421386719
1713722604199989000,-0.017044231295585632,-0.0649811327457428,0.004261057823896408,-0.07062894850969315,0.1759738177061081,9.264363288879395
1713722604208989000,0.05006742849946022,-0.022370552644133568,0.00532632227987051,-0.016759412363171577,-0.6440402269363403,11.172541618347168
1713722604218989000,-0.011717909015715122,0.0511326938867569,0.012783173471689224,0.16879121959209442,-1.3754688501358032,11.708843231201172
1713722604228989000,-0.012783173471689224,0.06924218684434891,0.011717909015715122,0.04908113554120064,-1.4676456451416016,11.993753433227539
1713722604237989000,0.08735168725252151,0.01810949482023716,0.009587380103766918,-0.395043283700943,-0.5159504413604736,9.738415718078613
1713722604247989000,0.1395496428012848,-0.014913702383637428,0.01065264455974102,-0.21188685297966003,0.3292027413845062,8.710105895996094
1713722604257989000,0.2822950780391693,-0.03302319720387459,0.0,-0.04189852997660637,0.6727706789970398,8.021772384643555
1713722604266989000,0.16618125140666962,0.003195793367922306,0.009587380103766918,-0.15682020783424377,0.26815059781074524,8.213308334350586
1713722604276989000,0.01065264455974102,0.01810949482023716,-0.001065264455974102,-0.12090718746185303,-0.5434837937355042,10.311826705932617
1713722604286989000,-0.148071750998497,0.029827404767274857,-0.002130528911948204,-0.19033902883529663,-0.4752490222454071,9.950302124023438
1713722604296989000,-0.25353294610977173,0.034088462591171265,0.013848437927663326,-0.4728548228740692,-0.06703764945268631,9.454702377319336
1713722604305989000,-0.14061491191387177,-0.012783173471689224,0.020240023732185364,-0.5674257874488831,0.32441431283950806,8.957905769348145
1713722604315989000,-0.07989483326673508,-0.05326322093605995,0.03302319720387459,-0.5063736438751221,0.4704606235027313,8.809465408325195
1713722604325989000,0.04580637067556381,-0.058589544147253036,0.04048004746437073,-0.727837324142456,0.002394201699644327,10.595539093017578
1713722604334989000,0.06924218684434891,0.002130528911948204,0.055393751710653305,-0.4010287821292877,-0.7960720658302307,11.726799964904785
