t,px,py,pz,rx,ry,rz,rw
1679689648407414818,1.344752750900971,-1.0043618657666717,1.2056794183786206,-0.06687797147992344,0.00349594684346209,0.9973333842744649,-0.02900406692242917
1679689648415298296,1.3434784588957849,-0.9972163183396942,1.2057427033132495,-0.06667745582697743,0.0026443707601779627,0.9973282395316896,-0.029723842624147224
1679689648425858821,1.3422306941701199,-0.9899771740011395,1.2058369289992106,-0.06624901866116113,0.0018860455172869245,0.9973273337813812,-0.030752230020950778
1679689648447594171,1.3410488512433723,-0.9826662781368559,1.2060559825442803,-0.06600200340321487,0.0010122678246937582,0.9973338017471619,-0.031112678334820256
1679689648447693968,1.3399260113019558,-0.9752425451226199,1.2062744878624305,-0.06547172538707306,0.00018232926450169985,0.997352329866459,-0.031650435081132994
1679689648454059063,1.3388138034323214,-0.967718729689957,1.2065760469363664,-0.06493767791667628,-0.0005427908269291054,0.9973690542747164,-0.03221448338971468
1679689648466792783,1.3377726051533856,-0.9601151533408386,1.2069576423318407,-0.06434611000332113,-0.0012873560850571097,0.9973990378255522,-0.03245119699507973
1679689648477248525,1.33675684588407,-0.9524472791324492,1.2074027449163063,-0.06351659045175748,-0.002046979567011713,0.9974456830540595,-0.032612297816263756
1679689648488170251,1.3358250601918216,-0.9446741562986591,1.207890799707451,-0.06258736622772886,-0.0026427894016378965,0.9974874135256456,-0.03308620725880156
1679689648496643235,1.3349244135882152,-0.9368364653430235,1.2084675422369036,-0.061529031865726794,-0.003589453606524956,0.9975322424751584,-0.033626169614677494
1679689648507181981,1.334013594636884,-0.9289799286823203,1.2090543944338883,-0.06031515500590953,-0.004292940636857514,0.9975808241648877,-0.03429507247120048
1679689648514475567,1.3332077449496371,-0.9210818120891514,1.2096687882500072,-0.059004117706665214,-0.005328229532266909,0.9976371835359489,-0.034787556542087636
1679689648524361579,1.332416109381131,-0.9131557531491087,1.2103693875956654,-0.05757348494507263,-0.0063533532362197226,0.9976919044943027,-0.03543716185682076
1679689648536298724,1.3316536286343286,-0.9052652208241169,1.211078656148933,-0.05619317783665452,-0.007553953411594705,0.9977489777871881,-0.03580840511800355
1679689648551902746,1.3309461398969804,-0.8973470920987254,1.2118181007411046,-0.05464508573512763,-0.008791653292450206,0.9978060583335516,-0.03632755689895575
1679689648554869314,1.3302982545163213,-0.8893756924163896,1.2125473826141846,-0.053024371818014324,-0.00993605808893205,0.9978648536078957,-0.0368160926369335
1679689648566687146,1.3296691493542767,-0.8815249325928467,1.213382006672354,-0.05155786391026395,-0.011488738491952968,0.9979209567099174,-0.036926409465820334
1679689648574685200,1.329163106083007,-0.8736190768401456,1.2142302622469179,-0.050056803231844534,-0.013130099750802378,0.9979733442274054,-0.037028652990772626
1679689648590036909,1.3286530597834099,-0.8657084681379061,1.2150774085859886,-0.048213212744416076,-0.014638623794794123,0.9980235240864893,-0.037553191345619664
1679689648603036924,1.3282406608557735,-0.8578324971015888,1.2160036748822334,-0.04659038106036914,-0.0162986740307983,0.9980708035738425,-0.0376611294433905
1679689648603746751,1.327842799920435,-0.8499589595099037,1.2169909249245323,-0.044904969890079596,-0.017611396878675023,0.99810334919494,-0.038250316403873844
1679689648624293109,1.327488973752924,-0.8421570962001378,1.218059289833124,-0.04308248949079541,-0.018761143355458244,0.9981551846857054,-0.03844666285019654
1679689648624388914,1.3272468598744638,-0.8343603705824224,1.2191298496599516,-0.0412871592893263,-0.019576802350110247,0.9981936588866487,-0.03900690510726714
1679689648642099218,1.3275091677870856,-0.8267872931832911,1.2206285734158204,-0.03954256893490894,-0.01988160766360275,0.9981642548116564,-0.041342802699253216
1679689648643872682,1.3269067918302728,-0.8187629372387298,1.2214718515471032,-0.03739995928714873,-0.02030798982019216,0.9982693322412959,-0.04058532864595168
1679689648655831726,1.3269487868330252,-0.8110077589410452,1.2226299755135435,-0.03563573670488303,-0.020243778472990682,0.9983174128143404,-0.041019836351678114
1679689648666090038,1.3269668636362117,-0.803339392711314,1.2238992435814933,-0.033596020381418054,-0.019838037972258107,0.9983864477562057,-0.04125846095878901
1679689648681701858,1.3270444534747297,-0.7957301993923749,1.2251197947585417,-0.031692704894740686,-0.01944751922201358,0.9984552257588614,-0.04128593716249552
1679689648683989394,1.3272086555950977,-0.7882109752193431,1.2263006164698458,-0.029552439321634216,-0.018873340393202227,0.9985376270832487,-0.04114678178786944
1679689648694001216,1.3274320832937387,-0.7807367980293661,1.2274040793086756,-0.027127685307036478,-0.01828683926813435,0.9986247323682707,-0.040967354098887944
1679689648705519448,1.3277506740924585,-0.7734530250473715,1.2285148170795848,-0.024840674644957313,-0.017950158119752143,0.9987264407573351,-0.0400777898448071
